=== REPORTE DE VERIFICACION DE IGUALDAD SERIAL VS PARALELO ===
Criterio: Coincidencia por valor con tolerancia 0 (Seccion 1.6 y Seccion 6)

N=1000 n=2 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.075109, dMax=139.477816)
N=10000 n=3 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.210410, dMax=167.235433)
N=10000 n=3 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.210410, dMax=167.235433)
N=10000 n=3 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.210410, dMax=167.235433)
N=100000 n=3 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.038683, dMax=169.914418)
N=100000 n=3 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.038683, dMax=169.914418)
N=100000 n=3 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.038683, dMax=169.914418)
N=100000 n=3 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=0.038683, dMax=169.914418)
N=1000 n=10 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=23.924581, dMax=234.157219)
N=1000 n=10 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=23.924581, dMax=234.157219)
N=1000 n=10 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=23.924581, dMax=234.157219)
N=1000 n=10 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=23.924581, dMax=234.157219)
N=10000 n=10 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=15.290753, dMax=249.630087)
N=10000 n=10 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=15.290753, dMax=249.630087)
N=10000 n=10 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=15.290753, dMax=249.630087)
N=10000 n=10 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=15.290753, dMax=249.630087)
N=100000 n=10 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=10.000265, dMax=258.667902)
N=100000 n=10 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=10.000265, dMax=258.667902)
N=100000 n=10 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=10.000265, dMax=258.667902)
N=100000 n=10 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=10.000265, dMax=258.667902)
N=1000 n=100 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=511.781733)
N=1000 n=100 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=511.781733)
N=1000 n=100 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=511.781733)
N=1000 n=100 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=511.781733)
N=10000 n=100 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=533.539041)
N=10000 n=100 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=533.539041)
N=10000 n=100 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=533.539041)
N=10000 n=100 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=271.082010, dMax=533.539041)
N=1000 n=1000 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1181.932668, dMax=1408.479170)
N=1000 n=1000 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1181.932668, dMax=1408.479170)
N=1000 n=1000 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1181.932668, dMax=1408.479170)
N=1000 n=1000 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1181.932668, dMax=1408.479170)
N=10000 n=1000 T=1: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1160.013844, dMax=1420.815519)
N=10000 n=1000 T=2: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1160.013844, dMax=1420.815519)
N=10000 n=1000 T=4: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1160.013844, dMax=1420.815519)
N=10000 n=1000 T=8: OK [COINCIDENCIA EXACTA EN INDICES Y VALOR] (dMin=1160.013844, dMax=1420.815519)
